MLB	Pitching	Opponent's On-base pct.
MLB	Pitching	Opponent's Slugging pct.
MLB	Pitching	Partial Innings
MLB	Pitching	Perfect Games
MLB	Pitching	Pickoff Attempts
MLB	Pitching	Pitch Count
MLB	Pitching	Pitches
MLB	Pitching	Pitches As Starter
MLB	Pitching	Pitches Per Inning
MLB	Pitching	Pitches Per Plate Appearance
MLB	Pitching	Pitches Per Start
MLB	Pitching	Player Rating
MLB	Pitching	Quality Starts
MLB	Pitching	Run Support
MLB	Pitching	Run Support Average
MLB	Pitching	Runs
MLB	Pitching	Runs Batted In
MLB	Pitching	Sacrifice Bunts
MLB	Pitching	Sacrifice Flies
MLB	Pitching	Save Opportunities
MLB	Pitching	Save Opportunities Per Win
MLB	Pitching	Save Percentage
MLB	Pitching	Saves
MLB	Pitching	Shutouts
MLB	Pitching	Stolen Bases
MLB	Pitching	Strike To Pitch Ratio
MLB	Pitching	Strikeout To Walk Ratio
MLB	Pitching	Strikeouts
MLB	Pitching	Strikeouts Per 9 Innings
MLB	Pitching	Strikes
MLB	Pitching	Team Games Played
MLB	Pitching	Third Innings Pitched
MLB	Pitching	Total Bases
MLB	Pitching	Tough Losses
MLB	Pitching	Triples
MLB	Pitching	Walks
MLB	Pitching	Walks Plus Hits Per Inning Pitched
MLB	Pitching	Wild Pitches
MLB	Pitching	Win Percentage
MLB	Pitching	Wins Above Replacement
MLB	Team	Points
MLS	Ball Control	Accurate Crosses
MLS	Ball Control	Accurate Long Balls
MLS	Ball Control	Accurate Passes
MLS	Ball Control	Cross %
MLS	Ball Control	Crosses
MLS	Ball Control	Long Balls
MLS	Ball Control	Long Balls %
MLS	Ball Control	Pass Completion %
MLS	Ball Control	Passes
MLS	Ball Control	Possession %
MLS	Defense	Clearances
MLS	Defense	Effective Clearances
MLS	Defense	Effective Tackles
MLS	Defense	Fouls
MLS	Defense	Interceptions
MLS	Defense	Red Cards
MLS	Defense	Saves
MLS	Defense	Tackle %
MLS	Defense	Tackles
MLS	Defense	Yellow Cards
MLS	Differential	Points Differential
MLS	General	Games Played
MLS	General	Losses
MLS	General	Ties
MLS	General	Wins
MLS	Offense	Blocked Shots
MLS	Offense	Corner Kicks
MLS	Offense	Offsides
MLS	Offense	On Target %
MLS	Offense	Penalty Goals
MLS	Offense	Penalty Kicks Taken
MLS	Offense	Shots
MLS	Offense	Shots On Target
MLS	Opponent	Opponent Points
MLS	Team	Points
NBA	Ball Control	Assists
NBA	Ball Control	Points Conceded Off Turnovers
NBA	Ball Control	Team Turnovers
NBA	Ball Control	Total Turnovers
NBA	Ball Control	Turnovers
NBA	Defense	Blocks
NBA	Defense	Defensive Rebounds
NBA	Defense	Flagrant Fouls
NBA	Defense	Fouls
NBA	Defense	Steals
NBA	Defense	Technical Fouls
NBA	Defense	Total Technical Fouls
NBA	Differential	Points Differential
NBA	General	Games Played
NBA	General	Largest Lead
NBA	General	Lead Change
NBA	General	Lead Changes
NBA	General	Losses
NBA	General	Percent Led
NBA	General	Ties
NBA	General	Wins
NBA	Offense	Fast Break Points
NBA	Offense	Offensive Rebounds
NBA	Offense	Points in Paint
NBA	Opponent	Opponent Points
NBA	Rebounding	Rebounds
NBA	Shooting	Field Goal %
NBA	Shooting	Free Throw %
NBA	Shooting	Three Point %
NBA	Team	Points
NBA	fieldGoalsMade-fieldGoalsAttempted	Field Goals Attempted
NBA	fieldGoalsMade-fieldGoalsAttempted	Field Goals Made
NBA	freeThrowsMade-freeThrowsAttempted	Free Throws Attempted
NBA	freeThrowsMade-freeThrowsAttempted	Free Throws Made
NBA	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Attempted
NBA	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Made
NCAAF	Ball Control	Turnovers
NCAAF	Defense	Fumbles Lost
NCAAF	Defense	Interceptions Thrown
NCAAF	Differential	Points Differential
NCAAF	Efficiency	3rd Down Attempts
NCAAF	Efficiency	3rd Down Conversions
NCAAF	Efficiency	4th Down Attempts
NCAAF	Efficiency	4th Down Conversions
NCAAF	Efficiency	Penalties
NCAAF	Efficiency	Penalty Yards
NCAAF	Efficiency	Possession Minutes
NCAAF	General	Games Played
NCAAF	General	Losses
NCAAF	General	Wins
NCAAF	Offense	1st Downs
NCAAF	Offense	Total Yards
NCAAF	Opponent	Opponent Points
NCAAF	Passing	Pass Attempts
NCAAF	Passing	Pass Completions
NCAAF	Passing	Passing Yards
NCAAF	Passing	Yards per Pass
NCAAF	Rushing	Rushing Attempts
NCAAF	Rushing	Rushing Yards
NCAAF	Rushing	Yards per Rush
NCAAF	Team	Points
NCAAM	Ball Control	Assists
NCAAM	Ball Control	Points Conceded Off Turnovers
NCAAM	Ball Control	Team Turnovers
NCAAM	Ball Control	Total Turnovers
NCAAM	Ball Control	Turnovers
NCAAM	Defense	Blocks
NCAAM	Defense	Defensive Rebounds
NCAAM	Defense	Flagrant Fouls
NCAAM	Defense	Fouls
NCAAM	Defense	Steals
NCAAM	Defense	Technical Fouls
NCAAM	Defense	Total Technical Fouls
NCAAM	Differential	Points Differential
NCAAM	General	Games Played
NCAAM	General	Largest Lead
NCAAM	General	Lead Change
NCAAM	General	Lead Changes
NCAAM	General	Losses
NCAAM	General	Percent Led
NCAAM	General	Ties
NCAAM	General	Wins
NCAAM	Offense	Fast Break Points
NCAAM	Offense	Offensive Rebounds
NCAAM	Offense	Points in Paint
NCAAM	Opponent	Opponent Points
NCAAM	Rebounding	Rebounds
NCAAM	Shooting	Field Goal %
NCAAM	Shooting	Free Throw %
NCAAM	Shooting	Three Point %
NCAAM	Team	Points
NCAAM	fieldGoalsMade-fieldGoalsAttempted	Field Goals Attempted
NCAAM	fieldGoalsMade-fieldGoalsAttempted	Field Goals Made
NCAAM	freeThrowsMade-freeThrowsAttempted	Free Throws Attempted
NCAAM	freeThrowsMade-freeThrowsAttempted	Free Throws Made
NCAAM	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Attempted
NCAAM	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Made
NCAAW	Ball Control	Assists
NCAAW	Ball Control	Points Conceded Off Turnovers
NCAAW	Ball Control	Team Turnovers
NCAAW	Ball Control	Total Turnovers
NCAAW	Ball Control	Turnovers
NCAAW	Defense	Blocks
NCAAW	Defense	Defensive Rebounds
NCAAW	Defense	Fouls
NCAAW	Defense	Steals
NCAAW	Defense	Technical Fouls
NCAAW	Defense	Total Technical Fouls
NCAAW	Differential	Points Differential
NCAAW	General	Games Played
NCAAW	General	Largest Lead
NCAAW	General	Lead Change
NCAAW	General	Lead Changes
NCAAW	General	Losses
NCAAW	General	Percent Led
NCAAW	General	Ties
NCAAW	General	Wins
NCAAW	Offense	Fast Break Points
NCAAW	Offense	Offensive Rebounds
NCAAW	Offense	Points in Paint
NCAAW	Opponent	Opponent Points
NCAAW	Rebounding	Rebounds
NCAAW	Shooting	Field Goal %
NCAAW	Shooting	Free Throw %
NCAAW	Shooting	Three Point %
NCAAW	Team	Points
NCAAW	fieldGoalsMade-fieldGoalsAttempted	Field Goals Attempted
NCAAW	fieldGoalsMade-fieldGoalsAttempted	Field Goals Made
NCAAW	freeThrowsMade-freeThrowsAttempted	Free Throws Attempted
NCAAW	freeThrowsMade-freeThrowsAttempted	Free Throws Made
NCAAW	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Attempted
NCAAW	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Made
NFL	Ball Control	Turnovers
NFL	Defense	Defensive / Special Teams TDs
NFL	Defense	Fumbles Lost
NFL	Defense	Interceptions Thrown
NFL	Differential	Points Differential
NFL	Efficiency	3rd Down Attempts
NFL	Efficiency	3rd Down Conversions
NFL	Efficiency	4th Down Attempts
NFL	Efficiency	4th Down Conversions
NFL	Efficiency	Penalties
NFL	Efficiency	Penalty 1st Downs
NFL	Efficiency	Penalty Yards
NFL	Efficiency	Possession Minutes
NFL	Efficiency	Red Zone Attempts
NFL	Efficiency	Red Zone Conversions
NFL	Efficiency	Yards per Play
NFL	General	Games Played
NFL	General	Losses
NFL	General	Ties
NFL	General	Wins
NFL	Offense	1st Downs
NFL	Offense	Total Drives
NFL	Offense	Total Plays
NFL	Offense	Total Yards
NFL	Opponent	Opponent Points
NFL	Passing	Pass Attempts
NFL	Passing	Pass Completions
NFL	Passing	Passing 1st Downs
NFL	Passing	Passing Yards
NFL	Passing	Sack Yards Lost
NFL	Passing	Sacks Allowed
NFL	Passing	Yards per Pass
NFL	Rushing	Rushing 1st Downs
NFL	Rushing	Rushing Attempts
NFL	Rushing	Rushing Yards
NFL	Rushing	Yards per Rush
NFL	Team	Points
NHL	Ball Control	Faceoff Win %
NHL	Ball Control	Faceoffs Won
NHL	Ball Control	Giveaways
NHL	Ball Control	Takeaways
NHL	Defense	Blocked Shots
NHL	Differential	Points Differential
NHL	General	Games Played
NHL	General	Losses
NHL	General	Ties
NHL	General	Wins
NHL	Offense	Hits
NHL	Offense	Penalties
NHL	Offense	Short-Handed Goals
NHL	Offense	Shots
NHL	Opponent	Opponent Points
NHL	Shooting	Shootout Goals
NHL	Special Teams	Penalty Minutes
NHL	Special Teams	Power Play %
NHL	Special Teams	Power Play Goals
NHL	Special Teams	Power Play Opportunities
NHL	Team	Points
Serie A	Ball Control	Accurate Crosses
Serie A	Ball Control	Accurate Long Balls
Serie A	Ball Control	Accurate Passes
Serie A	Ball Control	Cross %
Serie A	Ball Control	Crosses
Serie A	Ball Control	Long Balls
Serie A	Ball Control	Long Balls %
Serie A	Ball Control	Pass Completion %
Serie A	Ball Control	Passes
Serie A	Ball Control	Possession %
Serie A	Defense	Clearances
Serie A	Defense	Effective Clearances
Serie A	Defense	Effective Tackles
Serie A	Defense	Fouls
Serie A	Defense	Interceptions
Serie A	Defense	Red Cards
Serie A	Defense	Saves
Serie A	Defense	Tackle %
Serie A	Defense	Tackles
Serie A	Defense	Yellow Cards
Serie A	Differential	Points Differential
Serie A	General	Games Played
Serie A	General	Losses
Serie A	General	Ties
Serie A	General	Wins
Serie A	Offense	Blocked Shots
Serie A	Offense	Corner Kicks
Serie A	Offense	Offsides
Serie A	Offense	On Target %
Serie A	Offense	Penalty Goals
Serie A	Offense	Penalty Kicks Taken
Serie A	Offense	Shots
Serie A	Offense	Shots On Target
Serie A	Opponent	Opponent Points
Serie A	Team	Points
UCL	Ball Control	Accurate Crosses
UCL	Ball Control	Accurate Long Balls
UCL	Ball Control	Accurate Passes
UCL	Ball Control	Cross %
UCL	Ball Control	Crosses
UCL	Ball Control	Long Balls
UCL	Ball Control	Long Balls %
UCL	Ball Control	Pass Completion %
UCL	Ball Control	Passes
UCL	Ball Control	Possession %
UCL	Defense	Clearances
UCL	Defense	Effective Clearances
UCL	Defense	Effective Tackles
UCL	Defense	Fouls
UCL	Defense	Interceptions
UCL	Defense	Red Cards
UCL	Defense	Saves
UCL	Defense	Tackle %
UCL	Defense	Tackles
UCL	Defense	Yellow Cards
UCL	Differential	Points Differential
UCL	General	Games Played
UCL	General	Losses
UCL	General	Ties
UCL	General	Wins
UCL	Offense	Blocked Shots
UCL	Offense	Corner Kicks
UCL	Offense	Offsides
UCL	Offense	On Target %
UCL	Offense	Penalty Goals
UCL	Offense	Penalty Kicks Taken
UCL	Offense	Shots
UCL	Offense	Shots On Target
UCL	Opponent	Opponent Points
UCL	Team	Points
WNBA	Ball Control	Assists
WNBA	Ball Control	Points Conceded Off Turnovers
WNBA	Ball Control	Team Turnovers
WNBA	Ball Control	Total Turnovers
WNBA	Ball Control	Turnovers
WNBA	Defense	Blocks
WNBA	Defense	Defensive Rebounds
WNBA	Defense	Flagrant Fouls
WNBA	Defense	Fouls
WNBA	Defense	Steals
WNBA	Defense	Technical Fouls
WNBA	Defense	Total Technical Fouls
WNBA	Differential	Points Differential
WNBA	General	Games Played
WNBA	General	Largest Lead
WNBA	General	Losses
WNBA	General	Wins
WNBA	Offense	Fast Break Points
WNBA	Offense	Offensive Rebounds
WNBA	Offense	Points in Paint
WNBA	Opponent	Opponent Points
WNBA	Rebounding	Rebounds
WNBA	Shooting	Field Goal %
WNBA	Shooting	Free Throw %
WNBA	Shooting	Three Point %
WNBA	Team	Points
WNBA	fieldGoalsMade-fieldGoalsAttempted	Field Goals Attempted
WNBA	fieldGoalsMade-fieldGoalsAttempted	Field Goals Made
WNBA	freeThrowsMade-freeThrowsAttempted	Free Throws Attempted
WNBA	freeThrowsMade-freeThrowsAttempted	Free Throws Made
WNBA	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Attempted
WNBA	threePointFieldGoalsMade-threePointFieldGoalsAttempted	3-Pointers Made
