UCL	Saves
UCL	Shots
UCL	Shots On Target
UCL	Tackle %
UCL	Tackles
UCL	Ties
UCL	Wins
UCL	Yellow Cards
WNBA	3-Pointers Attempted
WNBA	3-Pointers Made
WNBA	Assists
WNBA	Blocks
WNBA	Defensive Rebounds
WNBA	Fast Break Points
WNBA	Field Goal %
WNBA	Field Goals Attempted
WNBA	Field Goals Made
WNBA	Flagrant Fouls
WNBA	Fouls
WNBA	Free Throw %
WNBA	Free Throws Attempted
WNBA	Free Throws Made
WNBA	Games Played
WNBA	Largest Lead
WNBA	Losses
WNBA	Offensive Rebounds
WNBA	Opponent Points
WNBA	Points
WNBA	Points Conceded Off Turnovers
WNBA	Points Differential
WNBA	Points in Paint
WNBA	Rebounds
WNBA	Steals
WNBA	Team Turnovers
WNBA	Technical Fouls
WNBA	Three Point %
WNBA	Total Technical Fouls
WNBA	Total Turnovers
WNBA	Turnovers
WNBA	Wins
